                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                              "r24.03.1"                               "gfortran"                                 "13.1.0"                    "x86_64-linux-23.7.3"                                 "CRMATH"                               "20250421"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      481                  1.0000000000000001E-005                 -4.9999999999999991E+000                  9.5503084448939144E-004                  3.0278523308515329E+001                 -1.1323306390375132E+001                  6.5156328360732130E-004                  6.7308461651440699E-001                  9.2149134088841180E-008                  9.9753562387449957E-001                  9.2715146127384629E-001                  6.7308461651440699E-001                  9.2149134088841180E-008                  9.9753562387449957E-001                  9.2715146127384629E-001                 -2.2981289381167016E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981289381167016E+001                 -2.2981289381167016E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2457772174233583E+000                 -2.5971941382643311E+000                 -2.6749834311438486E-001                  1.9530817116865600E+000                  0.0000000000000000E+000                  1.1833659063722646E+001                 -6.0757482475196467E-001                  4.5849439272544830E+000                  1.5051664329788923E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  6.7807189958746727E-004                  2.5783088669640496E-004                                        0                                        8 
                                       5                                      481                  6.4048000000000007E-005                 -4.9843050114734817E+000                  9.5503084448964818E-004                  3.0278523308515446E+001                 -1.1323306390375132E+001                  6.6012572154257473E-004                  6.8224318341833901E-001                  9.2149134595042376E-008                  9.9763971620836223E-001                  9.2715146127253922E-001                  6.8224318341833901E-001                  9.2149134595042376E-008                  9.9763971620836223E-001                  9.2715146127253922E-001                 -2.2981250424908144E+001                 -9.8999999999999986E+001                 -3.8531839444989586E+001                 -2.2981250424908144E+001                 -2.2981250424908144E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2449644059094584E+000                 -2.6007595743148060E+000                 -2.6765543811182235E-001                  1.9533959016815519E+000                  0.0000000000000000E+000                  1.1833760900296811E+001                 -6.0735523858552731E-001                  4.5848412803990319E+000                  1.5052390289399979E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861557E-003                  9.3805276451495428E-003                  6.7807189958765017E-004                  2.5783088669647445E-004                                        1                                        5 
                                      10                                      481                  1.4120250880000001E-004                 -4.6675800272829822E+000                  9.5503084449001453E-004                  3.0278523308515613E+001                 -1.1323306390375132E+001                  6.6012572154257516E-004                  6.8224318341807522E-001                  9.2149132232154674E-008                  9.9763971620823533E-001                  9.2445675934975591E-001                  6.8224318341807522E-001                  9.2149132232154674E-008                  9.9763971620823533E-001                  9.2445675934975591E-001                 -2.2981180623510195E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981180623510195E+001                 -2.2981180623510195E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2438600672498201E+000                 -2.6055989526619054E+000                 -2.6786644996609532E-001                  1.9538179253902643E+000                  0.0000000000000000E+000                  1.1833931129072262E+001                 -6.0705911733020201E-001                  4.5847280394637417E+000                  1.5052862642479177E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861531E-003                  9.3805276451495445E-003                  6.7807189958791038E-004                  2.5783088669657344E-004                                        1                                        5 
                                      15                                      481                  2.3882555305984000E-004                 -4.6518850387564639E+000                  9.5503084449047814E-004                  3.0278523308515823E+001                 -1.1323306390375132E+001                  6.6850531762863022E-004                  6.9120879744440378E-001                  9.2149133484251932E-008                  9.9763971620807890E-001                  9.2167299967655203E-001                  6.9120879744440378E-001                  9.2149133484251932E-008                  9.9763971620807890E-001                  9.2167299967655203E-001                 -2.2981077526443407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2981077526443407E+001                 -2.2981077526443407E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2429357768066200E+000                 -2.6096791492825226E+000                 -2.6805796739000387E-001                  1.9542009602382922E+000                  0.0000000000000000E+000                  1.1834168772280954E+001                 -6.0673239622094199E-001                  4.5846412530089404E+000                  1.5052617244293838E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861505E-003                  9.3805276451495462E-003                  6.7807189958823911E-004                  2.5783088669669834E-004                                        2                                        4 
                                      20                                      481                  4.1014307351281006E-004                 -4.5570088041823213E+000                  9.5503084449129194E-004                  3.0278523308516192E+001                 -1.1323306390375132E+001                  6.6850531762863684E-004                  6.9120879744381258E-001                  9.2149131002500493E-008                  9.9763971620779890E-001                  9.1879782873692928E-001                  6.9120879744381258E-001                  9.2149131002500493E-008                  9.9763971620779890E-001                  9.1879782873692928E-001                 -2.2980882151516550E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2980882151516550E+001                 -2.2980882151516550E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2419353681985585E+000                 -2.6141475282144953E+000                 -2.6829133963986690E-001                  1.9546677047383885E+000                  0.0000000000000000E+000                  1.1834604366508113E+001                 -6.0614320468508720E-001                  4.5844900033952731E+000                  1.5052065683774827E+000                  8.5500478890566545E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600789E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861496E-003                  9.3805276451495462E-003                  6.7807189958881732E-004                  2.5783088669691849E-004                                        3                                        5 
                                      25                                      481                  6.1651827866180547E-004                 -4.2402838199918218E+000                  9.5503084449227239E-004                  3.0278523308516640E+001                 -1.1323306390375132E+001                  6.7670359910296544E-004                  6.9998296021950979E-001                  9.2149133175951579E-008                  9.9773952394345256E-001                  9.1582886747519665E-001                  6.9998296021950979E-001                  9.2149133175951579E-008                  9.9773952394345256E-001                  9.1582886747519665E-001                 -2.2980648801768723E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2980648801768723E+001                 -2.2980648801768723E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2410891457095494E+000                 -2.6179636129828130E+000                 -2.6850693704600881E-001                  1.9550988995511180E+000                  0.0000000000000000E+000                  1.1835105695886828E+001                 -6.0545635286330535E-001                  4.5843084880534875E+000                  1.5051520707109325E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600784E-001                  3.4468833607861561E-003                  9.3805276451495445E-003                  3.4468833607861475E-003                  9.3805276451495462E-003                  6.7807189958951327E-004                  2.5783088669718303E-004                                        3                                        5 
                                      30                                      481                  9.8695150417205005E-004                 -4.2245888314653044E+000                  9.5503084449403215E-004                  3.0278523308517439E+001                 -1.1323306390375132E+001                  6.7670359910297542E-004                  6.9998296021821904E-001                  9.2149131259904660E-008                  9.9783521768727701E-001                  9.1276370348973457E-001                  6.9998296021821904E-001                  9.2149131259904660E-008                  9.9783521768727701E-001                  9.1276370348973457E-001                 -2.2980280098345936E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2980280098345936E+001                 -2.2980280098345936E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2399476304629746E+000                 -2.6231346393943480E+000                 -2.6880941975862599E-001                  1.9557038649771525E+000                  0.0000000000000000E+000                  1.1835857176078834E+001                 -6.0444914825334251E-001                  4.5840543799717173E+000                  1.5050468469893485E+000                  8.5500478890566523E-001                  1.2841549575157449E+000                  7.1000000000000008E-001                  2.6997126656600795E-001                  3.4468833607861553E-003                  9.3805276451495428E-003                  3.4468833607861453E-003                  9.3805276451495462E-003                  6.7807189959076259E-004                  2.5783088669765791E-004                                        4                                        5 
                                      35                                      481                  1.5193768685059276E-003                 -3.8286826012271802E+000                  9.5503084449656116E-004                  3.0278523308518590E+001                 -1.1323306390375132E+001                  6.8472218424301908E-004                  7.0856727089238292E-001                  9.2149131840410101E-008                  9.9927679930228852E-001                  9.0959991248600014E-001                  7.0856727089238292E-001                  9.2149131840410101E-008                  9.9927679930228852E-001                  9.0959991248600014E-001                 -2.2979883121178190E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2979883121178190E+001                 -2.2979883121178190E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2387218556730493E+000                 -2.6286873072661110E+000                 -2.6913420411465627E-001                  1.9563534336903632E+000                  0.0000000000000000E+000                  1.1836620484519683E+001                 -6.0347789487281556E-001                  4.5838384917397637E+000                  1.5048858990253673E+000                  8.5500478890566545E-001                  1.2841549575157449E+000                  7.1000000000000019E-001                  2.6997126656600795E-001                  3.4468833607861561E-003                  9.3805276451495428E-003                  3.4468833607861436E-003                  9.3805276451495462E-003                  6.7807189959255781E-004                  2.5783088669834053E-004                                        4                                        4 
                                      40                                      482                  2.8442215510852010E-003                 -3.4327763709890560E+000                  9.5503084450285409E-004                  3.0278523308521450E+001                 -1.1323306390375132E+001                  7.1503486760394629E-004                  7.4104121829608771E-001                  9.2149130808714138E-008                  9.9930822364362426E-001                  9.0296661404236622E-001                  7.4104121829608771E-001                  9.2149130808714138E-008                  9.9930822364362426E-001                  9.0296661404236622E-001                 -2.2979352240151510E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.2979352240151510E+001                 -2.2979352240151510E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.2365966077176571E+000                 -2.6382668477051889E+000                 -2.6967347842341172E-001                  1.9574319823107360E+000                  0.0000000000000000E+000                  1.1837592878498594E+001                 -6.0232082530414255E-001                  4.5836290572140816E+000                  1.5045974662521666E+000                  8.5500478890566545E-001                  1.2841549575157449E+000                  7.1000000000000008E-001                  2.6997126656600789E-001                  3.4468833607861553E-003                  9.3805276451495410E-003                  3.4468833607861410E-003                  9.3805276451495410E-003                  6.7807189959702603E-004                  2.5783088670003964E-004                                        4                                        7 
